t,value
1574464738,526385152
1574464739,526385152
1574464740,526385152
1574464741,526385152
1574464742,526385152
1574464743,526385152
1574464744,526385152
1574464745,526385152
1574464746,526385152
1574464747,526385152
1574464748,526385152
1574464749,526385152
1574464750,526385152
1574464751,526385152
1574464752,526385152
1574464753,526385152
1574464754,526385152
1574464755,526385152
1574464756,526385152
1574464757,526385152
1574464758,526385152
1574464759,526385152
1574464760,526385152
1574464761,526385152
1574464762,526385152
1574464763,526385152
1574464764,526385152
1574464765,526385152
1574464766,526385152
1574464767,526385152
1574464768,526385152
1574464769,526385152
1574464770,526385152
1574464771,526385152
1574464772,526385152
1574464773,526385152
1574464774,526385152
1574464775,526385152
1574464776,526385152
1574464777,526385152
1574464778,526385152
1574464779,526385152
1574464780,526385152
1574464781,526385152
1574464782,526385152
1574464783,526385152
1574464784,526385152
1574464785,526385152
1574464786,526385152
1574464787,526385152
1574464788,526385152
1574464789,526385152
1574464790,526385152
1574464791,526385152
1574464792,526385152
1574464793,526385152
1574464794,526385152
1574464795,526385152
1574464796,526385152
1574464797,526385152
1574464798,526385152
1574464799,526385152
1574464800,526385152
1574464801,526385152
1574464802,526385152
1574464803,526385152
1574464804,526385152
1574464805,526385152
1574464806,526385152
1574464807,526385152
1574464808,526385152
1574464809,526385152
1574464810,526385152
1574464811,526385152
1574464812,526385152
1574464813,526385152
1574464814,526385152
1574464815,526385152
1574464816,526385152
1574464817,526385152
1574464818,526385152
1574464819,526385152
1574464820,526385152
1574464821,526385152
1574464822,526385152
1574464823,526385152
1574464824,526385152
1574464825,526385152
1574464826,526385152
1574464827,526385152
1574464828,526385152
1574464829,526385152
1574464830,526385152
1574464831,526385152
1574464832,526385152
1574464833,526385152
1574464834,526385152
1574464835,526385152
1574464836,526385152
1574464837,526385152
1574464838,526385152
1574464839,526385152
1574464840,526385152
1574464841,526385152
1574464842,526385152
1574464843,526385152
1574464844,526385152
1574464845,526385152
1574464846,526385152
1574464847,526385152
1574464848,526385152
1574464849,526385152
1574464850,526385152
1574464851,526385152
1574464852,526385152
1574464853,526385152
1574464854,526385152
1574464855,526385152
1574464856,526385152
1574464857,526385152
1574464858,526385152
1574464859,526385152
1574464860,526385152
1574464861,526385152
1574464862,526385152
1574464863,526385152
1574464864,526385152
1574464865,526385152
1574464866,526385152
1574464867,526385152
1574464868,526385152
1574464869,526385152
1574464870,526385152
1574464871,526385152
1574464872,526385152
1574464873,526385152
1574464874,526385152
1574464875,526385152
1574464876,526385152
1574464877,526385152
1574464878,526385152
1574464879,526385152
1574464880,526385152
1574464881,526385152
1574464882,526385152
1574464883,526385152
1574464884,526385152
1574464885,526385152
1574464886,526385152
1574464887,526385152
1574464888,526385152
1574464889,526385152
1574464890,526385152
1574464891,526385152
1574464892,526385152
1574464893,526385152
1574464894,526385152
1574464895,526385152
1574464896,526385152
1574464897,526385152
1574464898,526385152
1574464899,526385152
1574464900,526385152
1574464901,526385152
1574464902,526385152
1574464903,526385152
1574464904,526385152
1574464905,526385152
1574464906,526385152
1574464907,526385152
1574464908,526385152
1574464909,526385152
1574464910,526385152
1574464911,526385152
1574464912,526385152
1574464913,526385152
1574464914,526385152
1574464915,526385152
1574464916,526385152
1574464917,526385152
1574464918,526385152
1574464919,526385152
1574464920,526385152
1574464921,526385152
1574464922,526385152
1574464923,526385152
1574464924,526385152
1574464925,526385152
1574464926,526385152
1574464927,526385152
1574464928,526385152
1574464929,526385152
1574464930,526385152
1574464931,526385152
1574464932,526385152
1574464933,526385152
1574464934,526385152
1574464935,526385152
1574464936,526385152
1574464937,526385152
1574464938,526385152
1574464939,526385152
1574464940,526385152
1574464941,526385152
1574464942,526385152
1574464943,526385152
1574464944,526385152
1574464945,526385152
1574464946,526385152
1574464947,526385152
1574464948,526385152
1574464949,526385152
1574464950,526385152
1574464951,526385152
1574464952,526385152
1574464953,526385152
1574464954,526385152
1574464955,526385152
1574464956,526385152
1574464957,526385152
1574464958,526385152
1574464959,526385152
1574464960,526385152
1574464961,526385152
1574464962,526385152
1574464963,526385152
1574464964,526385152
1574464965,526385152
1574464966,526385152
1574464967,526385152
1574464968,526385152
1574464969,526385152
1574464970,526385152
1574464971,526385152
1574464972,526385152
1574464973,526385152
1574464974,526385152
1574464975,526385152
1574464976,526385152
1574464977,526385152
1574464978,526385152
1574464980,526385152
1574464980,526385152
1574464981,526385152
1574464982,526385152
1574464983,526385152
1574464984,526385152
1574464985,526385152
1574464986,526385152
1574464987,526385152
