t,value
1574464738,21495808
1574464739,21495808
1574464740,21495808
1574464741,21495808
1574464742,21495808
1574464743,21495808
1574464744,21495808
1574464745,21495808
1574464746,21495808
1574464747,21495808
1574464748,21495808
1574464749,21495808
1574464750,21495808
1574464751,21495808
1574464752,21495808
1574464753,21495808
1574464754,21495808
1574464755,21495808
1574464756,21495808
1574464757,21495808
1574464758,21495808
1574464759,21495808
1574464760,21495808
1574464761,21495808
1574464762,21495808
1574464763,21495808
1574464764,21495808
1574464765,21495808
1574464766,21495808
1574464767,21495808
1574464768,21495808
1574464769,21495808
1574464770,21495808
1574464771,21495808
1574464772,21495808
1574464773,21495808
1574464774,21495808
1574464775,21495808
1574464776,21495808
1574464777,21495808
1574464778,21495808
1574464779,21495808
1574464780,21495808
1574464781,21495808
1574464782,21495808
1574464783,21495808
1574464784,21495808
1574464785,21495808
1574464786,21495808
1574464787,21495808
1574464788,21495808
1574464789,21495808
1574464790,21495808
1574464791,21495808
1574464792,21495808
1574464793,21495808
1574464794,21495808
1574464795,21495808
1574464796,21495808
1574464797,21495808
1574464798,21495808
1574464799,21495808
1574464800,21495808
1574464801,21495808
1574464802,21495808
1574464803,21495808
1574464804,21495808
1574464805,21495808
1574464806,21495808
1574464807,21495808
1574464808,21495808
1574464809,21495808
1574464810,21495808
1574464811,21495808
1574464812,21495808
1574464813,21495808
1574464814,21495808
1574464815,21495808
1574464816,21495808
1574464817,21495808
1574464818,21495808
1574464819,21495808
1574464820,21495808
1574464821,21495808
1574464822,21495808
1574464823,21495808
1574464824,21495808
1574464825,21495808
1574464826,21495808
1574464827,21495808
1574464828,21495808
1574464829,21495808
1574464830,21495808
1574464831,21495808
1574464832,21495808
1574464833,21495808
1574464834,21495808
1574464835,21495808
1574464836,21495808
1574464837,21495808
1574464838,21495808
1574464839,21495808
1574464840,21495808
1574464841,21495808
1574464842,21495808
1574464843,21495808
1574464844,21495808
1574464845,21495808
1574464846,21495808
1574464847,21495808
1574464848,21495808
1574464849,21495808
1574464850,21495808
1574464851,21495808
1574464852,21495808
1574464853,21495808
1574464854,21495808
1574464855,21495808
1574464856,21495808
1574464857,21495808
1574464858,21495808
1574464859,21495808
1574464860,21495808
1574464861,21495808
1574464862,21495808
1574464863,21495808
1574464864,21495808
1574464865,21495808
1574464866,21495808
1574464867,21495808
1574464868,21495808
1574464869,21495808
1574464870,21495808
1574464871,21495808
1574464872,21495808
1574464873,21495808
1574464874,21495808
1574464875,21495808
1574464876,21495808
1574464877,21495808
1574464878,21495808
1574464879,21495808
1574464880,21495808
1574464881,21495808
1574464882,21495808
1574464883,21495808
1574464884,21495808
1574464885,21495808
1574464886,21495808
1574464887,21495808
1574464888,21495808
1574464889,21495808
1574464890,21495808
1574464891,21495808
1574464892,21495808
1574464893,21495808
1574464894,21495808
1574464895,21495808
1574464896,21495808
1574464897,21495808
1574464898,21495808
1574464899,21495808
1574464900,21495808
1574464901,21495808
1574464902,21495808
1574464903,21495808
1574464904,21495808
1574464905,21495808
1574464906,21495808
1574464907,21495808
1574464908,21495808
1574464909,21495808
1574464910,21495808
1574464911,21495808
1574464912,21495808
1574464913,21495808
1574464914,21495808
1574464915,21495808
1574464916,21495808
1574464917,21495808
1574464918,21495808
1574464919,21495808
1574464920,21495808
1574464921,21495808
1574464922,21495808
1574464923,21495808
1574464924,21495808
1574464925,21495808
1574464926,21495808
1574464927,21495808
1574464928,21495808
1574464929,21495808
1574464930,21495808
1574464931,21495808
1574464932,21495808
1574464933,21495808
1574464934,21495808
1574464935,21495808
1574464936,21495808
1574464937,21495808
1574464938,21495808
1574464939,21495808
1574464940,21495808
1574464941,21495808
1574464942,21495808
1574464943,21495808
1574464944,21495808
1574464945,21495808
1574464946,21495808
1574464947,21495808
1574464948,21495808
1574464949,21495808
1574464950,21495808
1574464951,21495808
1574464952,21495808
1574464953,21495808
1574464954,21495808
1574464955,21495808
1574464956,21495808
1574464957,21495808
1574464958,21495808
1574464959,21495808
1574464960,21495808
1574464961,21495808
1574464962,21495808
1574464963,21495808
1574464964,21495808
1574464965,21495808
1574464966,21495808
1574464967,21495808
1574464968,21495808
1574464969,21495808
1574464970,21495808
1574464971,21495808
1574464972,21495808
1574464973,21495808
1574464974,21495808
1574464975,21495808
1574464976,21495808
1574464977,21495808
1574464978,21495808
1574464980,21495808
1574464980,21495808
1574464981,21495808
1574464982,21495808
1574464983,21495808
1574464984,21495808
1574464985,21495808
1574464986,21495808
1574464987,21495808
