t,value
1574467855,3866624
1574467856,3997696
1574467857,4259840
1574467858,4325376
1574467859,4390912
1574467860,4587520
1574467861,4587520
1574467862,4653056
1574467863,4653056
1574467864,4718592
1574467865,4718592
1574467866,4718592
1574467867,4718592
1574467868,4718592
1574467869,4718592
1574467870,4718592
1574467871,4784128
1574467872,4784128
1574467873,4784128
1574467874,4784128
1574467875,4784128
1574467876,4784128
1574467877,4784128
1574467878,4784128
1574467879,4849664
1574467880,4849664
1574467881,4849664
1574467882,4849664
1574467883,4849664
1574467884,4915200
1574467885,4915200
1574467886,4915200
1574467887,4915200
1574467888,4915200
1574467889,4915200
1574467890,4915200
1574467891,4915200
1574467892,4915200
1574467893,4980736
1574467894,4980736
1574467895,4980736
1574467896,4980736
1574467897,4980736
1574467898,4980736
1574467899,4980736
1574467900,4980736
1574467901,4980736
1574467902,4980736
1574467903,4980736
1574467904,4980736
1574467905,4980736
1574467906,4980736
1574467907,4980736
1574467908,4980736
1574467909,4980736
1574467910,5046272
1574467911,5046272
1574467912,5046272
1574467913,5046272
1574467914,5046272
1574467915,5046272
1574467916,5046272
1574467917,5046272
1574467918,5046272
1574467919,5046272
1574467920,5046272
1574467921,5046272
1574467922,5046272
1574467923,5046272
1574467924,5046272
1574467925,5046272
1574467926,5046272
1574467927,5046272
1574467928,5046272
1574467929,5046272
1574467930,5046272
1574467931,5046272
1574467932,5046272
1574467933,5046272
1574467934,5046272
1574467935,5046272
1574467936,5046272
1574467937,5046272
1574467938,5046272
1574467939,5046272
1574467940,5046272
1574467941,5046272
1574467942,5046272
1574467943,5046272
1574467944,5046272
1574467945,5046272
1574467946,5046272
1574467947,5046272
1574467948,5177344
1574467949,5177344
1574467950,5177344
1574467951,5177344
1574467952,5177344
1574467953,5177344
1574467954,5177344
1574467955,5177344
1574467956,5177344
1574467957,5177344
1574467958,5177344
1574467959,5177344
1574467960,5177344
1574467961,5177344
1574467962,5177344
1574467963,5177344
1574467964,5177344
1574467965,5177344
1574467966,5177344
1574467967,5177344
1574467968,5177344
1574467969,5177344
1574467970,5177344
1574467971,5177344
1574467972,5177344
1574467973,5177344
1574467974,5177344
1574467975,5177344
1574467976,5177344
1574467977,5177344
1574467978,5177344
1574467979,5242880
1574467980,5242880
1574467981,5242880
1574467982,5242880
1574467983,5242880
1574467984,5242880
1574467985,5242880
1574467986,5242880
1574467987,5242880
1574467988,5242880
1574467989,5242880
1574467990,5242880
1574467991,5242880
1574467992,5242880
1574467993,5242880
1574467994,5242880
1574467995,5242880
1574467996,5242880
1574467997,5242880
1574467998,5242880
1574467999,5242880
1574468000,5242880
1574468001,5242880
1574468002,5242880
