t,value
1574467855,12189696
1574467856,12648448
1574467857,12845056
1574467858,12976128
1574467859,13041664
1574467860,13238272
1574467861,13238272
1574467862,13303808
1574467863,13303808
1574467864,13369344
1574467865,13369344
1574467866,13369344
1574467867,13369344
1574467868,13369344
1574467869,13369344
1574467870,13369344
1574467871,13434880
1574467872,13434880
1574467873,13434880
1574467874,13434880
1574467875,13434880
1574467876,13434880
1574467877,13434880
1574467878,13434880
1574467879,13500416
1574467880,13500416
1574467881,13500416
1574467882,13500416
1574467883,13500416
1574467884,13762560
1574467885,13762560
1574467886,13828096
1574467887,13828096
1574467888,13828096
1574467889,13828096
1574467890,13828096
1574467891,13828096
1574467892,13828096
1574467893,13828096
1574467894,13828096
1574467895,13828096
1574467896,13828096
1574467897,13828096
1574467898,13893632
1574467899,13893632
1574467900,13893632
1574467901,13893632
1574467902,13893632
1574467903,13893632
1574467904,13893632
1574467905,13893632
1574467906,13893632
1574467907,13893632
1574467908,13893632
1574467909,13893632
1574467910,13893632
1574467911,13959168
1574467912,13959168
1574467913,13959168
1574467914,13959168
1574467915,13959168
1574467916,13959168
1574467917,13959168
1574467918,13959168
1574467919,13959168
1574467920,13959168
1574467921,13959168
1574467922,13959168
1574467923,13959168
1574467924,13959168
1574467925,13959168
1574467926,13959168
1574467927,13959168
1574467928,13959168
1574467929,13959168
1574467930,13959168
1574467931,13959168
1574467932,13959168
1574467933,13959168
1574467934,13959168
1574467935,13959168
1574467936,13959168
1574467937,13959168
1574467938,13959168
1574467939,13959168
1574467940,13959168
1574467941,13959168
1574467942,13959168
1574467943,13959168
1574467944,13959168
1574467945,13959168
1574467946,13959168
1574467947,13959168
1574467948,14024704
1574467949,14024704
1574467950,14024704
1574467951,14024704
1574467952,14024704
1574467953,14024704
1574467954,14024704
1574467955,14024704
1574467956,14024704
1574467957,14024704
1574467958,14024704
1574467959,14024704
1574467960,14024704
1574467961,14024704
1574467962,14024704
1574467963,14090240
1574467964,14090240
1574467965,14090240
1574467966,14090240
1574467967,14090240
1574467968,14090240
1574467969,14090240
1574467970,14090240
1574467971,14090240
1574467972,14090240
1574467973,14090240
1574467974,14090240
1574467975,14090240
1574467976,14090240
1574467977,14090240
1574467978,14090240
1574467979,14155776
1574467980,14155776
1574467981,14155776
1574467982,14155776
1574467983,14155776
1574467984,14155776
1574467985,14155776
1574467986,14155776
1574467987,14155776
1574467988,14155776
1574467989,14155776
1574467990,14155776
1574467991,14155776
1574467992,14155776
1574467993,14155776
1574467994,14155776
1574467995,14155776
1574467996,14155776
1574467997,14155776
1574467998,14155776
1574467999,14155776
1574468000,14155776
1574468001,14155776
1574468002,14155776
1574468003,14155776
1574468004,14155776
1574468005,14155776
1574468006,14155776
1574468007,14155776
1574468008,14155776
1574468009,14155776
1574468010,14155776
1574468011,14155776
1574468012,14155776
1574468013,14155776
1574468014,14155776
1574468015,14155776
1574468016,14155776
1574468017,14155776
1574468018,14155776
1574468019,14155776
1574468020,14155776
1574468021,14155776
1574468022,14155776
1574468023,14155776
1574468024,14155776
1574468025,14155776
1574468026,14155776
1574468027,14155776
1574468028,14155776
1574468029,14155776
1574468030,14155776
1574468031,14155776
1574468032,14155776
1574468033,14155776
1574468034,14155776
1574468035,14155776
1574468036,14155776
1574468037,14155776
1574468038,14155776
1574468039,14155776
1574468040,14221312
1574468041,14221312
1574468042,14221312
1574468043,14221312
1574468044,14221312
1574468045,14221312
1574468046,14221312
1574468047,14221312
1574468048,14221312
1574468049,14221312
1574468050,14221312
1574468051,14221312
1574468052,14221312
1574468053,14221312
1574468054,14221312
1574468055,14221312
1574468056,14221312
1574468057,14221312
1574468058,14221312
1574468059,14221312
1574468060,14221312
1574468061,14221312
1574468062,14221312
1574468063,14221312
1574468064,14221312
1574468065,14221312
1574468066,14221312
1574468067,14221312
1574468068,14221312
1574468069,14221312
1574468070,14221312
1574468071,14221312
1574468072,14221312
1574468073,14221312
1574468074,14221312
1574468075,14221312
1574468076,14221312
1574468077,14221312
1574468078,14221312
1574468079,14221312
1574468080,14221312
1574468081,14221312
1574468082,14221312
1574468083,14221312
1574468084,14221312
1574468085,14221312
1574468086,14221312
1574468087,14221312
1574468088,14221312
1574468089,14221312
1574468090,14221312
1574468091,14221312
1574468092,14221312
1574468093,14221312
1574468094,14221312
1574468095,14221312
1574468096,14221312
1574468097,14221312
1574468098,14221312
1574468099,14221312
1574468100,14221312
1574468101,14221312
1574468102,14221312
1574468103,14221312
1574468104,14221312
1574468105,14221312
1574468106,14221312
1574468107,14221312
1574468108,14221312
1574468109,14221312
1574468110,14221312
1574468111,14221312
1574468112,14221312
1574468113,14221312
1574468114,14221312
1574468115,14221312
1574468116,14221312
1574468117,14221312
1574468118,14221312
1574468119,14221312
1574468120,14221312
1574468121,14221312
1574468122,14221312
1574468123,14221312
1574468124,14221312
1574468125,14221312
1574468126,14221312
1574468127,14221312
1574468128,14221312
1574468129,14221312
1574468130,14221312
1574468131,14221312
1574468132,14221312
1574468133,14221312
1574468134,14221312
1574468135,14221312
1574468136,14221312
1574468137,14221312
1574468138,14221312
1574468139,14221312
1574468140,14221312
1574468141,14221312
1574468142,14221312
1574468143,14221312
